"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4800","Can't register with empty fields","webkit","2026-07-05","passed","2026-07-05","Register Page test","register.spec.ts","",""
"","4049","Cant register with invalid email format","webkit","2026-07-05","passed","2026-07-05","Register Page test","register.spec.ts","",""
"","3017","Can't Login with Unregistered account","chromium","2026-07-05","passed","2026-07-05","Login Page test","Login.spec.ts","",""
"","2447","Cant register with invalid email format","chromium","2026-07-05","passed","2026-07-05","Register Page test","register.spec.ts","",""
"","3812","Lost password shows err for unregistered account","chromium","2026-07-05","passed","2026-07-05","Login Page test","Login.spec.ts","",""
"","2137","Can't register with empty fields","chromium","2026-07-05","passed","2026-07-05","Register Page test","register.spec.ts","",""
"","2457","Cant register with 7 char password","chromium","2026-07-05","passed","2026-07-05","Register Page test","register.spec.ts","",""
"","3046","Can't register with empty fields","firefox","2026-07-05","passed","2026-07-05","Register Page test","register.spec.ts","",""
"","4526","Can't Login with Unregistered account","firefox","2026-07-05","passed","2026-07-05","Login Page test","Login.spec.ts","",""
"","3064","Cant register with invalid email format","firefox","2026-07-05","passed","2026-07-05","Register Page test","register.spec.ts","",""
"","12641","Can't Login with Unregistered account","webkit","2026-07-05","passed","2026-07-05","Login Page test","Login.spec.ts","",""
"","4690","Lost password shows err for unregistered account","firefox","2026-07-05","passed","2026-07-05","Login Page test","Login.spec.ts","",""
"","5084","Cant register with 7 char password","webkit","2026-07-05","passed","2026-07-05","Register Page test","register.spec.ts","",""
"","7079","Lost password shows err for unregistered account","webkit","2026-07-05","passed","2026-07-05","Login Page test","Login.spec.ts","",""
"","2951","Cant register with 7 char password","firefox","2026-07-05","passed","2026-07-05","Register Page test","register.spec.ts","",""
